threshold,accuracy,true_positive,false_positive,false_negative,true_negative
0.5,0.04431844638919703,864,348905,0,15316
0.55,0.08984756974403221,864,332283,0,31938
0.6000000000000001,0.15493926072010628,864,308519,0,55702
0.6500000000000001,0.2387964446635715,864,277904,0,86317
0.7000000000000002,0.34035361628114,864,240827,0,123394
0.7500000000000002,0.4571784652889053,856,198168,8,166053
0.8000000000000003,0.5926017228864511,855,148726,9,215495
0.8500000000000003,0.7385184272155799,855,95454,9,268767
0.9000000000000004,0.8823123382226057,855,42957,9,321264
0.9500000000000004,0.9858361751372968,855,5162,9,359059
